,name,age,from_team,to_team,avg_salary,year_fa,IDfg,first_played,last_played,pos_1B,pos_2B,pos_3B,pos_C,pos_DH,pos_SS
113,Chris Denorfia,34.4,SEA,CHC,2600000.0,2015,4400,2005.0,2015.0,0,0,0,0,0,0
114,Chris Heisey,31.8,WSH,WSH,1400000.0,2017,3978,2010.0,2017.0,0,0,0,0,0,0
115,Chris Herrmann,31.0,HOU,OAK,1000000.0,2019,9284,2012.0,2019.0,0,0,0,1,0,0
116,Chris Iannetta,32.6,LAA,SEA,4250000.0,2016,8267,2006.0,2019.0,0,0,0,1,0,0
117,Chris Iannetta,33.8,SEA,ARI,1500000.0,2017,8267,2006.0,2019.0,0,0,0,1,0,0
118,Chris Iannetta,34.7,ARI,COL,4250000.0,2018,8267,2006.0,2019.0,0,0,0,1,0,0
119,Chris Owings,27.2,ARI,KC,3000000.0,2019,10030,2013.0,2021.0,0,1,0,0,0,0
120,Chris Snyder,30.9,PIT,HOU,750000.0,2012,4606,2004.0,2013.0,0,0,0,1,0,0
121,Chris Stewart,35.9,PIT,ATL,575000.0,2018,3878,2006.0,2018.0,0,0,0,1,0,0
122,Chris Taylor,31.2,LAD,LAD,15000000.0,2022,13757,2014.0,2021.0,0,1,0,0,0,0
123,Chris Young,34.4,BOS,LAA,2000000.0,2018,3882,2006.0,2018.0,0,0,0,0,0,0
124,Chris Young,32.2,NYY,BOS,6500000.0,2016,3882,2006.0,2018.0,0,0,0,0,0,0
125,Chris Young,30.2,OAK,NYM,7250000.0,2014,3882,2006.0,2018.0,0,0,0,0,0,0
126,Cliff Pennington,31.4,TOR,LAA,1875000.0,2016,3395,2008.0,2018.0,0,0,0,0,0,1
127,Clint Barmes,32.7,HOU,PIT,5250000.0,2012,1830,2003.0,2015.0,0,0,0,0,0,1
128,Clint Barmes,35.7,PIT,SD,1500000.0,2015,1830,2003.0,2015.0,0,0,0,0,0,1
129,Clint Frazier,27.2,NYY,CHC,1500000.0,2022,15983,2017.0,2021.0,0,0,0,0,0,0
130,Coco Crisp,32.2,OAK,OAK,7000000.0,2012,1572,2002.0,2016.0,0,0,0,0,0,0
131,Cody Ransom,36.8,ARI,SD,550000.0,2013,1126,2001.0,2013.0,0,0,1,0,0,0
132,Cody Ross,32.0,BOS,ARI,8666667.0,2013,1760,2003.0,2015.0,0,0,0,0,0,0
133,Cody Ross,31.1,SF,BOS,3000000.0,2012,1760,2003.0,2015.0,0,0,0,0,0,0
134,Colby Rasmus,28.4,TOR,HOU,8000000.0,2015,9893,2009.0,2018.0,0,0,0,0,0,0
135,Colby Rasmus,30.3,HOU,TB,5000000.0,2017,9893,2009.0,2018.0,0,0,0,0,0,0
136,Corey Dickerson,30.6,PHI,MIA,8750000.0,2020,10762,2013.0,2021.0,0,0,0,0,0,0
137,Corey Hart,31.7,MIL,SEA,6000000.0,2014,1945,2004.0,2015.0,0,0,0,0,0,0
138,Corey Hart,32.7,SEA,PIT,2500000.0,2015,1945,2004.0,2015.0,0,0,0,0,0,0
139,Corey Seager,27.6,LAD,TEX,32500000.0,2022,13624,2015.0,2021.0,0,0,0,0,0,1
140,Craig Gentry,32.0,OAK,LAA,1000000.0,2016,9571,2009.0,2018.0,0,0,0,0,0,0
141,Curt Casali,32.1,CIN,SF,1500000.0,2021,12510,2014.0,2021.0,0,0,0,1,0,0
142,Curtis Granderson,36.8,LAD,TOR,5000000.0,2018,4747,2004.0,2019.0,0,0,0,0,0,0
143,Curtis Granderson,32.7,NYY,NYM,15000000.0,2014,4747,2004.0,2019.0,0,0,0,0,0,0
144,Dan Johnson,32.5,TB,CHW,900000.0,2012,2167,2005.0,2015.0,1,0,0,0,0,0
145,Daniel Descalso,30.2,COL,ARI,1500000.0,2017,8392,2010.0,2019.0,0,1,0,0,0,0
