,name,position,age,from_team,to_tam,contract_length,total_salary,avg_salary,year,spotracID,spotracLink
181,Bartolo Colon,SP,39.4,OAK,OAK,1,3000000,3000000,2013,5205,https://www.spotrac.com/redirect/player/5205/
182,Carlos Pena,1B,34.6,TB,HOU,1,2900000,2900000,2013,848,https://www.spotrac.com/redirect/player/848/
183,J.P. Howell,RP,29.7,TB,LAD,1,2850000,2850000,2013,833,https://www.spotrac.com/redirect/player/833/
184,Matt Lindstrom,RP,32.9,ARI,CHW,1,2800000,2800000,2013,326,https://www.spotrac.com/redirect/player/326/
185,Luke Scott,DH,34.6,TB,TB,1,2750000,2750000,2013,76,https://www.spotrac.com/redirect/player/76/
186,Raul Ibanez,DH,40.5,NYY,SEA,1,2750000,2750000,2013,757,https://www.spotrac.com/redirect/player/757/
187,Placido Polanco,3B,37.2,PHI,MIA,1,2750000,2750000,2013,297,https://www.spotrac.com/redirect/player/297/
188,Geovany Soto,C,29.8,TEX,TEX,1,2750000,2750000,2013,161,https://www.spotrac.com/redirect/player/161/
189,Jeff Karstens,SP,30.2,PIT,PIT,1,2500000,2500000,2013,587,https://www.spotrac.com/redirect/player/587/
190,John Lannan,RP,28.2,WSH,PHI,1,2500000,2500000,2013,926,https://www.spotrac.com/redirect/player/926/
191,Kelly Johnson,2B,30.9,TOR,TB,1,2450000,2450000,2013,23,https://www.spotrac.com/redirect/player/23/
192,Roy Oswalt,SP,35.7,TEX,COL,1,2300000,2300000,2013,379,https://www.spotrac.com/redirect/player/379/
193,Mike Gonzalez,RP,34.6,WSH,MIL,1,2250000,2250000,2013,18,https://www.spotrac.com/redirect/player/18/
194,Nate Schierholtz,RF,28.8,PHI,CHC,1,2250000,2250000,2013,5356,https://www.spotrac.com/redirect/player/5356/
195,Chris Young,RP,33.7,NYM,WSH,1,2000000,2000000,2013,689,https://www.spotrac.com/redirect/player/689/
196,Travis Hafner,DH,35.6,CLE,NYY,1,2000000,2000000,2013,348,https://www.spotrac.com/redirect/player/348/
197,Andres Torres,CF,34.8,NYM,SF,1,2000000,2000000,2013,5357,https://www.spotrac.com/redirect/player/5357/
198,Nate McLouth,LF,31.1,BAL,BAL,1,2000000,2000000,2013,703,https://www.spotrac.com/redirect/player/703/
199,James Loney,1B,28.5,BOS,TB,1,2000000,2000000,2013,475,https://www.spotrac.com/redirect/player/475/
200,Jose Veras,RP,32.1,MIL,HOU,1,1850000,1850000,2013,5307,https://www.spotrac.com/redirect/player/5307/
201,Jeff Baker,1B,31.6,ATL,TEX,1,1750000,1750000,2013,248,https://www.spotrac.com/redirect/player/248/
202,Reed Johnson,LF,35.9,ATL,ATL,1,1750000,1750000,2013,5201,https://www.spotrac.com/redirect/player/5201/
203,Dioner Navarro,C,28.8,CIN,CHC,1,1750000,1750000,2013,858,https://www.spotrac.com/redirect/player/858/
204,Robert Andino,CF,28.6,SEA,SEA,1,1600000,1600000,2013,315,https://www.spotrac.com/redirect/player/315/
205,Mark Lowe,RP,29.8,LAD,LAA,1,1500000,1500000,2013,761,https://www.spotrac.com/redirect/player/761/
206,Daisuke Matsuzaka,SP,32.3,BOS,CLE,1,1500000,1500000,2013,97,https://www.spotrac.com/redirect/player/97/
207,Kelly Shoppach,C,32.8,NYM,SEA,1,1500000,1500000,2013,360,https://www.spotrac.com/redirect/player/360/
208,Chris Volstad,RP,26.2,KC,COL,1,1500000,1500000,2013,5248,https://www.spotrac.com/redirect/player/5248/
209,Jason Frasor,RP,35.3,TOR,TEX,1,1500000,1500000,2013,897,https://www.spotrac.com/redirect/player/897/
210,Jeff Francis,SP,31.8,COL,COL,1,1500000,1500000,2013,254,https://www.spotrac.com/redirect/player/254/
211,Alex Gonzalez,SS,35.9,MIL,MIL,1,1450000,1450000,2013,213,https://www.spotrac.com/redirect/player/213/
212,Jonathan Sanchez,SP,30.2,COL,PIT,1,1375000,1375000,2013,734,https://www.spotrac.com/redirect/player/734/
213,Eric Hinske,1B,35.2,ATL,ARI,1,1350000,1350000,2013,852,https://www.spotrac.com/redirect/player/852/
214,Shawn Camp,RP,37.0,CHC,CHC,1,1350000,1350000,2013,5402,https://www.spotrac.com/redirect/player/5402/
215,Derek Lowe,SP,39.8,NYY,TEX,1,1250000,1250000,2013,476,https://www.spotrac.com/redirect/player/476/
216,Brandon Inge,3B,35.7,OAK,PIT,1,1250000,1250000,2013,292,https://www.spotrac.com/redirect/player/292/
217,Lyle Overbay,1B,36.0,ATL,BOS,1,1250000,1250000,2013,911,https://www.spotrac.com/redirect/player/911/
218,Kyle Farnsworth,RP,36.8,TB,TB,1,1250000,1250000,2013,581,https://www.spotrac.com/redirect/player/581/
219,Matt Diaz,LF,34.8,ATL,NYY,1,1200000,1200000,2013,14,https://www.spotrac.com/redirect/player/14/
220,Ronny Cedeno,SS,29.9,NYM,STL,1,1150000,1150000,2013,134,https://www.spotrac.com/redirect/player/134/
221,Chad Qualls,RP,34.4,PIT,MIA,1,1150000,1150000,2013,123,https://www.spotrac.com/redirect/player/123/
222,Erik Bedard,SP,33.8,PIT,HOU,1,1150000,1150000,2013,747,https://www.spotrac.com/redirect/player/747/
223,Chad Durbin,RP,35.1,ATL,PHI,1,1100000,1100000,2013,635,https://www.spotrac.com/redirect/player/635/
224,Miguel Tejada,2B,38.6,BAL,KC,1,1100000,1100000,2013,386,https://www.spotrac.com/redirect/player/386/
225,Kameron Loe,RP,31.4,MIL,SEA,1,1050000,1050000,2013,7208,https://www.spotrac.com/redirect/player/7208/
226,Brian Wilson,RP,31.3,SF,LAD,1,1000000,1000000,2013,741,https://www.spotrac.com/redirect/player/741/
227,Rich Hill,SP,32.8,BOS,CLE,1,1000000,1000000,2013,145,https://www.spotrac.com/redirect/player/145/
228,Jon Rauch,RP,6.6,NYM,MIA,1,1000000,1000000,2013,928,https://www.spotrac.com/redirect/player/928/
229,Manny Parra,RP,30.2,MIL,CIN,1,1000000,1000000,2013,504,https://www.spotrac.com/redirect/player/504/
230,LaTroy Hawkins,RP,40.1,LAA,NYM,1,1000000,1000000,2013,583,https://www.spotrac.com/redirect/player/583/
